Стоимость тарифа,Дата создания,Глубина бронирования,Дата заезда,День,Количество бронирований
7,2015-12-22,6,2015-12-25,7,365
8,2015-12-16,6,2015-12-19,3,359
8,2015-12-16,9,2015-12-20,3,360
5,2015-12-10,2,2015-12-11,4,351
5,2015-12-10,7,2015-12-12,1,352
2,2015-08-04,5,2015-08-04,1,222
5,2015-10-07,26,2015-10-31,2,310
5,2015-09-20,6,2015-09-22,3,271
5,2015-10-12,30,2015-11-07,2,317
5,2015-10-24,5,2015-10-24,2,303
3,2015-12-11,0,2015-12-11,5,351
13,2014-12-23,20,2015-01-07,4,13
8,2015-02-05,1,2015-02-05,8,42
8,2015-02-05,4,2015-02-06,8,43
8,2015-02-05,5,2015-02-07,8,44
8,2015-02-05,3,2015-02-08,3,45
9,2015-01-22,5,2015-01-23,7,29
9,2015-01-23,4,2015-01-24,7,30
11,2015-01-23,7,2015-01-29,4,35
11,2015-01-23,8,2015-01-30,4,36
11,2015-01-23,13,2015-01-31,5,37
11,2015-01-23,14,2015-02-01,3,38
11,2015-01-23,15,2015-02-02,6,39
11,2015-01-23,15,2015-02-03,6,40
11,2015-01-23,13,2015-02-04,7,41
18,2015-01-07,6,2015-01-08,3,14
18,2015-01-07,4,2015-01-09,2,15
18,2015-01-07,5,2015-01-10,2,16
9,2015-02-17,17,2015-03-04,5,69
9,2015-02-17,16,2015-03-05,4,70
9,2015-02-17,17,2015-03-06,4,71
9,2015-02-17,21,2015-03-07,5,72
9,2015-02-17,21,2015-03-08,3,73
9,2015-02-17,22,2015-03-09,4,74
9,2015-02-17,25,2015-03-10,4,75
9,2015-02-17,22,2015-03-11,4,76
22,2015-02-15,7,2015-02-18,5,55
22,2015-02-15,8,2015-02-19,6,56
22,2015-02-15,6,2015-02-20,6,57
22,2015-02-15,11,2015-02-21,4,58
22,2015-02-15,11,2015-02-22,4,59
10,2015-03-16,6,2015-03-17,2,82
10,2015-03-16,3,2015-03-18,2,83
10,2015-03-16,6,2015-03-19,2,84
10,2015-03-16,8,2015-03-20,4,85
7,2015-03-16,12,2015-03-28,4,93
7,2015-03-16,14,2015-03-29,3,94
